,date,url,filing,filers_name,title
514,04/09/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FEB54557C1DE5E16852583D70027DCCE/$FILE/Melvin-Watt-12.08.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
515,04/05/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B26364B2CC995CAA852583D30047CBBD/$FILE/Mnuchin, Steven T. 2018 Annual.pdf","Mnuchin, Steven T",Department of The Treasury,Secretary
516,04/05/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/461891E0BC178EDB852583D300473F96/$FILE/Wilbur-L-Ross-02.11.2019-278T.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
517,04/05/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/11F3FA3AD838B9D3852583D30027C221/$FILE/Richard-V-Spencer-01.04.2019-278T.pdf,"Spencer, Richard V",Department of The Navy,Secretary
518,04/05/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/8A9A651E54394B7F852583D30027C21F/$FILE/Richard-V-Spencer-01.04.2019-278T(2).pdf,"Spencer, Richard V",Department of The Navy,Secretary
519,04/05/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DA1DF1CE85CBCAD4852583D30027BFDA/$FILE/Benjamin-Carson-02.06.2019-278T.pdf,"Carson, Benjamin S",Department of Housing and Urban Development,Secretary
520,04/03/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/23204479D358ABAC852583D10027C0D7/$FILE/Rosen, Jeffrey A.  final278.pdf","Rosen, Jeffrey A",Department of Justice,Deputy Attorney General
521,03/29/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5521799760B8082A852583CC0027E90F/$FILE/Wilbur-L-Ross-11.30.2018-278T.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
522,03/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/279BC12568933BF6852583CA0027E96D/$FILE/Ryan-Zinke-2019-278TERM.pdf,"Zinke, Ryan",Department of The Interior,Secretary
523,03/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/F65D5E067931267D852583CA0027E925/$FILE/Richard-V-Spencer-10.17.2018-278T.pdf,"Spencer, Richard V",Department of The Navy,Secretary
524,03/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/592693F7EE815E3B852583CA0027E87E/$FILE/Steven-Mnuchin-10.18.2018-278T.pdf,"Mnuchin, Steven T",Department of The Treasury,Secretary
525,03/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/358F6D3AA08ABDB2852583CA0027E87C/$FILE/Steven-Mnuchin-09.23.2018-278T.pdf,"Mnuchin, Steven T",Department of The Treasury,Secretary
526,03/26/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3973855AA50355BC852583C90027E89D/$FILE/Edward-S-Pruitt-2018-278.pdf,"Pruitt, Edward Scott",Environmental Protection Agency,Administrator
527,03/26/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/473D19CD60C1428E852583C90027E877/$FILE/Pamela-Patenaude-2019-278.pdf,"Patenaude, Pamela H",Department of Housing and Urban Development,Deputy Secretary
528,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/428DDD6C62109B55852583C60027E9E3/$FILE/Melvin-Watt-2019-278TERM.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
529,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/781E5E7F0AD02EEA852583C60027E940/$FILE/Jerome-H-Powell-01.07.2019-278T.pdf,"Powell, Jerome H",Federal Reserve System Board of Governors,Governor 2
530,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/F55C7631AFF12D70852583C60027E89C/$FILE/Ellen-M-Lord-01.17.2019-278T.pdf,"Lord, Ellen McCausland",Department of Defense/Office of The Secretary,"Under Secretary for Acquisition, Technology, Logistics"
531,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/17BDC90F78542742852583C60027E785/$FILE/Elisabeth-P-DeVos-01.02.2019-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
532,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E338B8E3547CB31F852583C60027E783/$FILE/Elisabeth-P-DeVos-02.05.2019-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
533,03/23/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B80CE53FFAEDFAB1852583C60027E74F/$FILE/Elaine-L-Chao-12.13.2018-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
534,03/22/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BC57667F352843E8852583C50027E924/$FILE/John-J-Sullivan-12.05.2018-278T.pdf,"Sullivan, John J",Department of State,Deputy Secretary
535,03/22/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/7AF18CB2E6F1D7E0852583C50027E817/$FILE/William-B-Long-10.25.2018-278T.pdf,"Long, William B",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
536,03/20/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B1BAA5AD1BA57931852583C3002C1EDC/$FILE/Maguire EA Certification 1 of 1.pdf,"Maguire, Joseph",Office of Director of National Intelligence,"Director, National Counterterrorism Center"
537,03/17/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6AFC26340C43BBA7852583C00027E703/$FILE/Cabaniss, Virginia Dale  final278.pdf","Cabaniss, Virginia",Office of Personnel Management,Director
538,03/16/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5D27836DB241F40F852583BF0027E6BE/$FILE/Bernhardt, David L.  final278.pdf","Bernhardt, David L",Department of The Interior,Secretary
539,03/14/2019,https://extapps2.oge.gov/201/Presiden.nsf/201 Request?OpenForm&Filer=Barr,"Barr, William P",Department of Justice,Attorney General
540,03/06/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FFEEBACCA33BC0F9852583B5002D688D/$FILE/Cairncross, Sean  final278.pdf","Cairncross, Sean S",Millennium Challenge Corporation,Chief Executive Officer
541,02/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/58B455D7995E7113852583AE002D5CD9/$FILE/James-N-Mattis-2018-278TERM.pdf,"Mattis, James N",Department of Defense/Office of The Secretary,Secretary
542,02/27/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/516C975EF926FEF4852583AE002D5B45/$FILE/Alex-M-Azar-12.22.2018-278T.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
543,02/26/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A6DBDA467766A7DA852583AD002D5D29/$FILE/Black, David F.  final278.pdf","Black, David F",Social Security Administration,Deputy Commissioner
544,02/23/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/42D9F9EEB890A5D5852583AA002D5EE4/$FILE/Saul, Andrew M.  final278.pdf","Saul, Andrew",Social Security Administration,Commissioner
545,02/20/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1382897FDDC40D57852583A7002D5BE3/$FILE/Wilbur-L-Ross-10.31.2018-278T.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
546,02/20/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/569F5AAAB9C31E1C852583A7002D5AEF/$FILE/Benjamin-Carson-10.26.2018-278T.pdf,"Carson, Benjamin S",Department of Housing and Urban Development,Secretary
547,02/19/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A28CA739CF331E63852583A600727D04/$FILE/Wilbur-L-Ross-2018-278.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
548,02/19/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E0ECFBF73979569E852583A600727B5C/$FILE/Elisabeth-P-DeVos-10.29.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
549,02/14/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A678AE38D5122EDD852583A100319A49/$FILE/Droegemeier EA Certification 1 of 1.pdf,"Droegemeier, Kelvin K",Office of Science and Technology Policy,Director
550,02/08/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A74B50C643ADC7A28525839B00319E98/$FILE/Muzinich EA Certification 1 of 1.pdf,"Muzinich, Justin",Department of The Treasury,Deputy Secretary
551,02/01/2019,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/55CE528A11E3A74885258394002E5132/$FILE/Jeff-Pon-2018-278TERM.pdf,"Pon, Jeff Tien Han",Office of Personnel Management,Director
552,01/15/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/17EAB2AB3122FC1285258383002E4BA1/$FILE/Nason, Nicole R.  final278.pdf","Nason, Nicole R",Department of Transportation,"Administrator, Federal Highway Administration"
553,01/13/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/81F4F4DA4F54DB0385258381002E48A8/$FILE/Calabria, Mark  final278.pdf","Calabria, Mark",Federal Housing Finance Agency,Director
554,01/11/2019,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9B50AC6ABAA2BE3C8525837F002E4CFD/$FILE/Wheeler, Andrew R.  final278.pdf","Wheeler, Andrew",Environmental Protection Agency,Administrator
555,12/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4805061AB963999E8525836A002E5421/$FILE/Jefferson-B-Sessions-2018-278Term.pdf,"Sessions, Jefferson B",Department of Justice,Attorney General
556,12/08/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5FCF09E5E0C994C68525835D002E5606/$FILE/Melvin-L-Watt-08.17.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
557,12/08/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FC2644FB3CC3A9128525835D002E52A9/$FILE/Elisabeth-P-DeVos-09.30.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
558,12/08/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3B39AF994DB2906A8525835D002E51C6/$FILE/Alex-M-Azar-10.05.2018-278T.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
559,12/05/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3F6E0D5D51ACF91A8525835A002E52EB/$FILE/Elisabeth-P-DeVos-2018-278.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
560,12/04/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/401C795C8BDDD1EC8525835900319CB7/$FILE/Bowman EA Certification 1 of 1.pdf,"Bowman, Michelle White",Federal Reserve System Board of Governors,Governor
561,11/24/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/973DF1C0A662DD0F8525834F002E4FDF/$FILE/Elaine-L-Chao-09.17.2018-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
562,11/24/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/16193759FD8C37B08525834F002E4F49/$FILE/Alexander-Acosta-10.16.2018-278T.pdf,"Acosta, Rene Alexander",Department of Labor,Secretary
563,11/20/2018,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D1D85D39FD7F35778525834B0031A0E7/$FILE/Wilkie, Robert EA Certification 1 of 1 .pdf","Wilkie, Robert L",Department of Veterans Affairs,Secretary
564,11/10/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/535F6D3BD91B54F085258341002E4F19/$FILE/Elisabeth-P-DeVos-08.02.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
565,11/10/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/716BC0D16B8C2CF885258341002E4E99/$FILE/Benjamin-S-Carson-10.03.2018-278T.pdf,"Carson, Benjamin S",Department of Housing and Urban Development,Secretary
566,11/09/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4B07D6878CA4D8CD85258340002E531F/$FILE/John-J-Sullivan-08.03.2018-278T.pdf,"Sullivan, John J",Department of State,Deputy Secretary
567,11/06/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D044055C6F0E273D8525833D002E4DF7/$FILE/Alex-M-Azar-09.21.2018-278T.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
568,11/03/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5A6953FFC03B26928525833A0028D289/$FILE/Jerome-H-Powell-09.13.2018-278T.pdf,"Powell, Jerome H",Federal Reserve System Board of Governors,Governor 2
569,11/01/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/336AFBF00D496B72852583380028D2C0/$FILE/John-J-Sullivan-2018-278.pdf,"Sullivan, John J",Department of State,Deputy Secretary
570,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3AED0EC62C5D81BA8525832F0028D910/$FILE/Richard-V-Spencer-09.07.2018-278T.pdf,"Spencer, Richard V",Department of The Navy,Secretary
571,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3AD36935BEDE66088525832F0028D90B/$FILE/Richard-V-Spencer-08.20.2018-278T.pdf,"Spencer, Richard V",Department of The Navy,Secretary
572,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E2450C341946FF968525832F0028D907/$FILE/Richard-V-Spencer-08.20.2018-278T4.pdf,"Spencer, Richard V",Department of The Navy,Secretary
573,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A315D96FBECAF2E28525832F0028D52E/$FILE/Eric-Hargan-2018-278.pdf,"Hargan, Eric D.",Department of Health and Human Services,Deputy Secretary
574,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/958C9B825533848B8525832F0028D30F/$FILE/Thomas-Bowman-2018-278Term.pdf,"Bowman, Thomas G",Department of Veterans Affairs,Deputy Secretary
575,10/23/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/51498C57FC520DC38525832F0028D245/$FILE/Alex-M-Azar-09.03.2018-278T.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
576,10/04/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1873879E6CEA152E8525831C002C24B5/$FILE/Clarida EA Certification 1 of 1.pdf,"Clarida, Richard H",Federal Reserve System Board of Governors,Governor
577,09/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/67430F9F037E2FA68525830F00295457/$FILE/Melvin-L-Watt-06.12.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
578,09/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C4EB58570BDC0E648525830F0029544E/$FILE/Melvin-L-Watt-05.31.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
579,09/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C1F090F65DB382568525830F00295449/$FILE/Melvin-L-Watt-07.16.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
580,09/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CC6057396B5CBEB88525830F002952B8/$FILE/Randal-K-Quarles-2018-278.pdf,"Quarles, Randal K",Federal Reserve System Board of Governors,Governor & Vice Chairman for Supervision
581,09/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/177FA4307CA892E48525830F00294EAF/$FILE/Elisabeth-P-DeVos-06.29.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
582,09/20/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/94E7D47752213EE48525830E00294FBB/$FILE/Stephen-L-Censky-2018-278.pdf,"Censky, Stephen L.",Department of Agriculture,Deputy Secretary
583,09/19/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FC277D1FD8D9AE568525830D002954FA/$FILE/Heather-A-Wilson-08.12.2018-278T.pdf,"Wilson, Heather A",Department of The Air Force,Secretary
584,09/19/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E687CEF1779A9B408525830D002953E5/$FILE/Patrick-M-Shanahan-09.18.2018-278T.pdf,"Shanahan, Patrick M",Department of Defense/Office of The Secretary,Deputy Secretary
585,09/19/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/16A4F30A6EDE45DC8525830D00294E6C/$FILE/Daniel-R-Coats-08.23.2018-278T.pdf,"Coats, Daniel R",Office of Director of National Intelligence,Director
586,09/14/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6F0277ABD5BE0DCA8525830800294DF9/$FILE/Lael-Brainard-2018-278.pdf,"Brainard, Lael",Federal Reserve System Board of Governors,Governor
587,08/30/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1601CDC90176CEB3852582F90029508D/$FILE/Daniel-R-Coats-07.02.2018-278T.pdf,"Coats, Daniel R",Office of Director of National Intelligence,Director
588,08/28/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EEC24D4E8EDF66B5852582F700294DD4/$FILE/Alex-M-Azar-08.17.2018-278T.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
589,08/25/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BB2982863AD85877852582F40029577D/$FILE/Melvin-L-Watt-05.14.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
590,08/25/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5B90E345D556D7BA852582F400295575/$FILE/Jeff-Tien-Han-Pon-07.10.2018-278T.pdf,"Pon, Jeff Tien Han",Office of Personnel Management,Director
591,08/22/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/FE3E51A62D7D2B05852582F100293AE9/$FILE/Rod-J-Rosenstein-2018-278.pdf,"Rosenstein, Rod J",Department of Justice,Deputy Attorney General
592,08/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4C821E2D25E73DEF852582F000568CFF/$FILE/Ryan-Zinke-2018-278.pdf,"Zinke, Ryan",Department of The Interior,Secretary
593,08/17/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A25435799D681DC6852582EC00294823/$FILE/Patrick-M-Shanahan-06.26.2018-278T.pdf,"Shanahan, Patrick M",Department of Defense/Office of The Secretary,Deputy Secretary
594,08/17/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DDDA0D112B138EA5852582EC00294821/$FILE/Jefferson-B-Sessions-2018-278.pdf,"Sessions, Jefferson B",Department of Justice,Attorney General
595,08/14/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/8840CD62681231F2852582E9002945FE/$FILE/Elaine-L-Chao-06.11.2018-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
596,08/10/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/507C7E2A41B8658F852582E50029488A/$FILE/Rex-W-Tillerson-2018-278TERM.pdf,"Tillerson, Rex W",Department of State,Secretary
597,08/10/2018,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9098FD1A1DDCF52C852582E5002944D7/$FILE/Droegemeier, Kelvin K.  final278.pdf","Droegemeier, Kelvin K",Office Of Science & Technology Policy,Director
598,08/08/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4E6F68AAA0C56FC8852582E3002947B1/$FILE/David-J-Shulkin-2018-278TERM.pdf,"Shulkin, David J",Department of Veterans Affairs,Secretary
599,07/31/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2399FC1583607826852582DB0029470F/$FILE/Richard-V-Spencer-06.11.2018-278T(2).pdf,"Spencer, Richard V",Department of The Navy,Secretary
600,07/31/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D36AF419DF486E6B852582DB0029470D/$FILE/Richard-V-Spencer-06.11.2018-278T(1).pdf,"Spencer, Richard V",Department of The Navy,Secretary
601,07/28/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF8E57BC07E4E40852582D80029460B/$FILE/Elisabeth-P-DeVos-06.01.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
602,07/28/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B72D7D1FA55C671A852582D8002945C2/$FILE/France-A-Cordova-2018-278.pdf,"Cordova, France A",National Science Foundation,Director
603,07/28/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D7C281310C8D1705852582D80029458D/$FILE/Benjamin-S-Carson-Sr-2018-278.pdf,"Carson, Benjamin S",Department of Housing and Urban Development,Secretary
604,07/26/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EA1E216807C3D084852582D6002C1A17/$FILE/Pompeo- EA Certification 1 of 1.pdf,"Pompeo, Michael R",Department of State,Secretary
605,07/24/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2D927F5D377501AF852582D400294311/$FILE/Melvin-L-Watt-04.18.2018-278T.pdf,"Watt, Melvin L",Federal Housing Finance Agency,Director
606,07/24/2018,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6E1D8249B92E2FE8852582D40029416E/$FILE/Maguire, Joseph  AMENDEDfinal278.pdf","Maguire, Joseph",Office of Director of National Intelligence,"Director, National Counterterrorism Center"
607,07/24/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4BDACABDEF9D34E9852582D40029415B/$FILE/William-B-Long-2018-278.pdf,"Long, William B",Department of Homeland Security,"Administrator, Federal Emergency Management Agency"
608,07/24/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A51AAFDB07E90DA5852582D400293FBC/$FILE/Elaine-L-Chao-05.15.2018-278-T(B).pdf,"Chao, Elaine L",Department of Transportation,Secretary
609,07/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/74E40651C14C21F3852582D100294255/$FILE/Michael-R-Pompeo-2018-278.pdf,"Pompeo, Michael R",Central Intelligence Agency,Director
610,07/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3DC14CE973BE1FBD852582D100294239/$FILE/George-E-Perdue-2018-278.pdf,"Perdue, George E",Department of Agriculture,Secretary
611,07/21/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5161E801A2334F35852582D100294013/$FILE/Elaine-L-Chao-05.15.2018-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
612,07/19/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C87E5192DEBFDD09852582CF002C15AA/$FILE/Bridenstine EA Certification 1 of 1.pdf,"Bridenstine, James F",National Aeronautics and Space Administration,Administrator
613,07/14/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B9057A2D406E6140852582CA00293925/$FILE/Mark-A-Green-2018-278.pdf,"Green, Mark A",Agency for International Development (AID),Administrator
614,07/13/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/75171E48CE2F8803852582C900293861/$FILE/Daniel-R-Coats-2018-278.pdf,"Coats, Daniel R",Office of Director of National Intelligence,Director
615,07/12/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/853843BB93A3B767852582C8002C11DA/$FILE/Pizzella EA Certification 1 of 1.pdf,"Pizzella, Patrick",Department of Labor,Deputy Secretary
616,07/12/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C17E2148D0972F55852582C800293AAB/$FILE/James-N-Mattis-2018-278.pdf,"Mattis, James N",Department of Defense/Office of The Secretary,Secretary
617,07/11/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/F744D2483891A67B852582C700293C19/$FILE/Patrick-M-Shanahan-2018-278.pdf,"Shanahan, Patrick M",Department of Defense/Office of The Secretary,Deputy Secretary
618,07/06/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/23764C5FC8253ACC852582C20027DC60/$FILE/Richard-V-Spencer-2018-278.pdf,"Spencer, Richard V",Department of The Navy,Secretary
619,07/06/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C32129F56E61BA05852582C20027DA1E/$FILE/Kevin-A-Hassett-2018-278.pdf,"Hassett, Kevin A",Council of Economic Advisers,Member & Chairman
620,07/06/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B7B0B927F8DB1A39852582C20027D96B/$FILE/Elisabeth-P-DeVos-05.03.2018-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
621,07/06/2018,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/7E2C30610832DBFF852582C20027D91E/$FILE/Elaine-L-Chao-2018-278.pdf,"Chao, Elaine L",Department of Transportation,Secretary
